text,label
"am 1. Mai 2004 dieser Brückenschlag über den ehemaligen Eisernen Vorhang gelungen ist. (Beifall bei Abgeordneten der CDU) Auch das gehört zur Debatte dazu: Wer hat denn damals, als es um die Freiheit und die soziale Gerechtigkeit und um die Frage der Einheit Europas ging,gehandelt? Es wa- ren doch die Ungarn, die damals den Stacheldrahtzaun aufgeschnitten haben. (Beifall bei Abgeordneten der CDU und der FDP) In Polen war es die Solidarnosc, die mit ihrer Bewegung dazu beigetragen hat. Es ist deshalb richtig und notwen- dig, diesen Schritt jetzt zu vollziehen. Ich komme jetzt zum zweiten Punkt. Dieses Europa muss dann aber auch mit Inhalten gefüllt und gelebt werden. Wir weisen dabei deutlich darauf hin, dass wir die Men- schen nicht überfordern dürfen. Die Menschen haben da- für nämlich ein Gefühl. Wir müssen jetzt dafür sorgen, dass diese neue Europäische Union mit den 25 Staaten mit Leben erfüllt wird.Wir müssen es beispielsweise end- lich schaffen, dass der Entwurf des Verfassungsvertrags gemeinsam verabschiedet wird. Sie wissen, dass wir es gern hätten, dass es in diesem Verfassungsvertrag einen Gottesbezug gibt. Herr Al-Wazir, das, was Sie vorgetragen haben, war falsch. Denn auch schon jetzt sieht der Ent- wurf vor, dass es einen Bezug auf die religiösen, die hu- manistischen und die historischen Entwicklungen Euro- pas gibt und dass das seine Geltung hat. Ich finde, die Eu- ropäische Union ist keine Gesellschaft ohne Werte. Viel- mehr handelt es sich um eine Wertegemeinschaft, die sich auf der Grundlage der christlichen und humanistischen Werte fortentwickeln muss. (Beifall bei der CDU und der Abg. Jörg-Uwe Hahn und Ruth Wagner (Darmstadt) (FDP)) Die Wahrheit ist doch, dass Sorgen bestehen. (Margaretha Hölldobler-Heumüller (BÜNDNIS 90/ DIE GRÜNEN): Sie haben nicht zugehört!) Ich finde, wir als Politiker müssen, wenn wir mit den Men- schen sprechen, gegenüber diesen selbstverständlich ver- deutlichen, welche Chancen und Perspektiven für unser Land in einem solchen Prozess stecken.Wir haben halt in der Europäischen Union keine Randlage mehr. Deutsch- land liegt nicht mehr an der Zonengrenze, am Eisernen Vorhang.Jahrzehntelang hat das Land so gelebt.Viele von Hessischer Landtag · 16.Wahlperiode · 36. Sitzung · 12. Mai 2004 uns haben die",NON_HATE
". . . . . . . . . . . . . 4266 Florian Rentsch . . . . . . . . . . . . . . . . . . . 4257 Dr.Thomas Spies . . . . . . . . . . . . . . . . . . 4259 Alfons Gerling . . . . . . . . . . . . . . . . . . . . 4261 Kordula Schulz-Asche . . . . . . . . . . . . . . . . 4262 Michael Denzin . . . . . . . . . . . . . . . . . . . 4264 Evelin Schönhut-Keil . . . . . . . . . . . . . . . . 4264 Ministerin Silke Lautenschläger . . . . . . . . . . 4264 Vizepräsidentin Ruth Wagner . . . . . . . . . . . 4266 66. Beschlussempfehlungen der Ausschüsse zu Petitio- nen – Drucks. 16/3601 – . . . . . . . . . . . . . . . . . 4266 Beschlussempfehlungen angenommen . . . . . . . 4266 Vizepräsidentin Ruth Wagner . . . . . . . . . . . 4266 Hessischer Landtag · 16.Wahlperiode · 62. Sitzung · 23. Februar 2005 III Im Präsidium: Präsident Norbert Kartmann Vizepräsident Lothar Quanz Vizepräsidentin Evelin Schönhut-Keil Vizepräsidentin Ruth Wagner Auf der Regierungsbank: Ministerpräsident Roland Koch Minister und Chef der Staatskanzlei Stefan Grüttner Minister des Innern und für Sport Volker Bouffier Minister der Finanzen Karlheinz Weimar Minister der Justiz Dr. Christean Wagner Kultusministerin Karin Wolff Minister für Wissenschaft und Kunst Udo Corts Minister für Wirtschaft,Verkehr und Landesentwicklung Dr.Alois Rhiel Minister für Umwelt, ländlichen Raum und Verbraucherschutz Wilhelm Dietzel Sozialministerin Silke Lautenschläger Staatssekretär Dirk Metz MinDirig Wolfgang Hannappel Staatssekretär Dr.Walter Arnold Staatssekretär Harald Lemke Staatssekretär Herbert Landau Staatssekretär Karl-Joachim Jacobi Staatssekretär Prof. Dr. Joachim-Felix Leonhard Staatssekretär Bernd Abeln MinDirig Bernhard Heinz Staatssekretär Gerd Krämer Abwesende Abgeordnete: Petra Fuhrmann Margaretha Hölldobler-Heumüller Dr.Andreas Jürgens",HATE
"ob die GEW recht hat oder ob Sie recht haben. Das ist doch ein ganz einfacher Prozess. (Beifall bei der LINKEN – Zuruf der Abg. Claudia Ravensburg (CDU)) In der Landesverfassung ist von Lernmittelfreiheit die Re- de; das Gesetz regelt aber nur eine teilweise Freiheit. Wenn man einmal alle Kosten für Kopien, Ausflüge, Klas- senfahrten, Lektüren usw. zusammenrechnet, kommt man leicht auf 500 € pro Kind und Schuljahr. Das ist ein The- ma, bei dem es nicht nur in armen Familien Konflikte gibt, sondern auch Familien mit mittleren und guten Einkom- men werden dadurch stark belastet, vor allen Dingen dann, wenn in ihnen mehr als ein Kind lebt. Das führt mich zum nächsten der Kinder- und Jugendrech- te, zum Recht auf soziale Sicherheit. Ich habe bei unserem Hessentagsquiz viele Menschen gefragt, auf wie viel Pro- zent sie die Kinderarmut in Hessen schätzen. Die meisten waren ziemlich entsetzt, dass der Prozentsatz im Jahr 2015 18,2 % betrug. Wir wissen auch, dass dieser Prozentsatz im letzten Jahr noch gestiegen ist. Zu den Betroffenen ge- hören viele Einwandererkinder, die sowieso besonders ar- mutsgefährdet sind. Allerdings hat sich auch der Anteil der Kinder ohne Migrationshintergrund trotz der heute gefeier- ter Rekordbeschäftigung erhöht, da die meisten der hinzu- gewonnenen Beschäftigungsverhältnisse prekär sind – auf Teilzeit angelegt, schlecht bezahlt –, sodass insbesondere alleinerziehende Frauen auf dem Arbeitsmarkt nicht Fuß fassen können, nicht das notwendige Entgelt bekommen und auch nicht die Kitabetreuung haben, die sie bräuchten, um so viel zu verdienen, dass ihre Kinder nicht in Armut aufwachsen. Was Kinderarmut heißt, habe ich bereits im letzten Plenum ausgeführt. Es heißt, nicht die Schule zu besuchen, die ge- eignet wäre, weil der Weg zu weit ist und die Fahrtkosten nicht übernommen werden. Es heißt, in jedem Monat zu erleben, dass nicht genug Geld für Lebensmittel, Hygiene- artikel und Schulmaterial da ist. Es heißt, keine Chance auf einen guten Schulabschluss zu haben, weil die Hilfe zu Hause und das Geld für Nachhilfeunterricht fehlen. Die Kinder erleben die Schmach, die durch Ausgrenzung im- mer wieder entsteht. Die Kinder stehen am Ende der Es- sensschlange an. Das ist genau die Situation,",NON_HATE
"schauen, dass man im Kampf dafür, dass keine Meinung unterdrückt werden darf, nicht gleichzeitig das Mittel, dass nämlich Länder Hochschulgesetzgebung machen können, mit in den Orkus kippt. Das muss man sauber auseinanderhalten. Ich glaube, da ist eine große Differenzierung wichtig. (Beifall bei der SPD) Genauso spannend ist es in den Vereinigten Staaten. Die Forschungsförderung und Wissenschaftsfreiheit sind dort bedroht. Dies betrifft die Kürzungen, die der Kollege May angesprochen hat, und den Umgang mit der United States Environmental Protection Agency. Aber Vorsicht. Die Worte lauten: Forschungsergebnisse werden in Zukunft ei- Hessischer Landtag · 19. Wahlperiode · 107. Sitzung · 31. Mai 2017 nem politischen Vertreter vorgelegt werden müssen. Sie müssen zur Haltung der neuen Regierung passen. Das ist der Angriffspunkt. Ich frage Sie einmal ernsthaft, ob Sie die Geschichte der letzten beiden Armuts- und Reichtumsberichte in Deutschland verfolgt haben. Es wur- den Daten vorgelegt, die infolge eines Einspruchs des Bun- deskanzleramts vor der Veröffentlichung korrigiert wur- den. Wer also über Wissenschaftsfreiheit redet und dies zum Angriffspunkt nimmt, der muss sehr präzise sagen, wie man mit deutschen Wissenschaftlern umgeht, die kriti- sche Berichte erstellen. Das ist nicht ganz so einfach. (Beifall bei der SPD und der LINKEN) Das war aber nur der staatliche Teil. Es gibt noch eine Rei- he von Auseinandersetzungen, die gar nicht aus dem staat- lichen Bereich kommen. Schauen wir uns einmal in den Vereinigten Staaten nach den sogenannten Think Tanks um, die aus gesellschaftspolitisch genehmen Wissenschaft- lern zusammengesetzt werden. Schauen wir uns aber auch einmal die offene Korruption an. Schauen wir uns einmal Studien zum Tabakkonsum vor dem Hintergrund der in diesem Zusammenhang geflossenen Gelder an. Hierzu gibt es einen ordentlichen Bericht des amerikanischen Senats. Dadurch wird deutlich, dass Wissenschaft auch offen be- zahlt werden kann. Auch an dieser Stelle wird Wissen- schaftsfreiheit aufgegeben, sodass kritische Wissenschaft nicht möglich ist. Außerdem gibt es die Frage der inneren Probleme. Ich be- schreibe das einmal anhand eines klassischen Beispiels. Sie wissen alle, dass Veröffentlichungen im wissenschaftli- chen Bereich einem Peer-Review unterliegen. Das heißt, dass Leute aus dem gleichen Bereich sagen müssen, ob das wissenschaftlich oder nicht wissenschaftlich ist. Wenn Sie",NON_HATE
"des erreicht, in denen ausgeführt wird, was das konkret bedeutet. Damit muss man sich auch in diesem Landtag ausein- andersetzen. Denn eine Verordnung hat eine Rechts- grundlage in einem Gesetz. Dafür ist ein Landtag zustän- dig. Was haben Sie mit der Änderung der Beihilfeverordnung vor? Sie wollen die Bemessungssätze ändern. Sie wollen den nachrangigen Beihilfeanspruchs für Tarifbeschäftigte streichen. Sie wollen den 15-prozentigen Zuschlag bei sta- tionären Behandlungen kürzen. Sie wollen die Aufwen- dungen für zahntechnische Leistungen um 10 % kürzen. Aus unserer Sicht der gravierendste Punkt: Sie wollen die Sachleistungsbeihilfe streichen. – Was heißt das? Dieses Beispiel möchte ich einmal verdeutlichen. (Präsident Norbert Kartmann übernimmt den Vor- sitz.) Bisher konnten freiwillig versicherte Beamtinnen und Be- amte im Rahmen der Regelung zur Sachkostenbeihilfe 50 % der entrichteten Beiträge bekommen. Die Beamten, die sich der Solidarversicherung angeschlossen haben, sollen nach dem jetzigen Modell ab dem 01.01.2014 diese Möglichkeit nicht mehr bekommen, sie müssen sich voll privat versichern. In aller Regel sind das nicht Beamte im Alter von 25 Jahren, sondern lebensältere. Das heißt, auf diesen Kreis der freiwillig Versicherten kämen Beitrags- erhöhungen je nach Situation zwischen 200 und 300 € im Monat zu. Das ist ein erheblicher Eingriff in die finanziel- len Möglichkeiten. (Hermann Schaus (DIE LINKE): Und unsolida- risch!) Es ist ungerecht und unsolidarisch gegenüber diesem Be- amtenkreis, der freiwillig in der gesetzlichen Krankenver- sicherung war. (Beifall bei der SPD und der LINKEN) Meine sehr verehrten Damen und Herren, deswegen müs- sen wir das thematisieren. In unserem Antrag haben wir das deutlich gemacht: Solange es die Bürgerversicherung noch nicht gibt – das ist unser Alternativmodell –, kann man diese Beamtinnen und Beamten nicht bestrafen. Wenn Sie das so umsetzen, wie Sie es vorhaben, ist das ein erneuter Wortbruch. Der damalige Innenminister hat im Jahr 2003 gesagt: Mit der Erhöhung der Wochenarbeits- zeit, den Streichungen von Weihnachts- und Urlaubsgeld wird es keine weiteren Sonderopfer geben. (Zuruf des Abg. Dr. Thomas Spies (SPD)) Bouffier hieß der Mann. Geblieben ist ein Wortbruch, der fortgeführt wird. Damit hat diese Landesregierung kein Problem. Meine sehr verehrten Damen und Herren, deswegen ha- ben wir das Thema Beihilfe",NON_HATE
"Ich würde mich zusammen mit dem Präsidenten, Herrn Kart- mann, und anderen sehr freuen, wenn sich jetzt zur Aus- stellungseröffnung ganz viele versammeln würden. Ich weise darauf hin, dass zeitgleich der Ausschuss für Wissenschaft und Kunst in Raum 118 S tagt. Ich schlage vor, dass wir uns um 15 Uhr, wie beabsichtigt, wieder tref- fen. (Zuruf: 15.15 Uhr!) – Wir beraten also um 15.15 Uhr heute Nachmittag weiter. (Unterbrechung von 13.22 Uhr bis 15.15 Uhr) Vizepräsidentin Evelin Schönhut-Keil: Meine Damen und Herren, wir setzen die unterbrochene Plenarsitzung fort. Noch eingegangen und auf Ihren Plätzen verteilt ist ein Dringlicher Antrag der Fraktion der CDU betreffend um- sichtiges Verhalten der Landesregierung im Auswahlver- fahren für die deutschen Bewerberstädte zum Titel „Kul- turhauptstadt Europa 2010“, Drucks. 16/2522. Wird die Dringlichkeit bejaht? (Dr. Franz Josef Jung (Rheingau) (CDU): Jawohl!) Ich sehe, dass dies der Fall ist. Dann wird dieser Dringli- che Antrag Tagesordnungspunkt 96 und wird, wenn dem nicht widersprochen wird, zusammen mit Tagesordnungs- punkt 91 aufgerufen. Die vorgesehene Redezeit beträgt, wenn niemand widerspricht, fünf Minuten pro Fraktion. – Es widerspricht niemand; dann ist das so beschlossen. Vereinbarungsgemäß rufe ich nun Tagesordnungspunkt 42 auf: Antrag der Fraktion der SPD betreffend Landesregie- rung gefährdet den sozialen Frieden und ruiniert die in- nere Sicherheit in Hessen – Drucks. 16/2471 – Als erster Redner zur Begründung des Antrages hat sich Herr Abg. Rudolph von der SPD-Fraktion gemeldet. Die Redezeit beträgt 15 Minuten. Günter Rudolph (SPD): Frau Präsidentin, meine sehr verehrten Damen und Her- ren, liebe Kolleginnen und Kollegen! (Zuruf des Abg. Dr.Walter Lübcke (CDU)) – Herr Kollege Dr. Lübcke, den Gefallen kann ich Ihnen nicht tun. Ich kann eine inhaltlich sicher gute Rede – das in aller Bescheidenheit vorneweg – zu einem Thema, das in der Tat wichtig ist, nämlich dazu, dass die Politik der CDU-Landesregierung die innere Sicherheit in Hessen massiv beeinträchtigt, nicht einfach zu Protokoll geben. (Beifall bei der SPD und dem BÜNDNIS 90/DIE GRÜNEN – Zuruf des Abg. Frank Gotthardt (CDU)) Ihre Politik schwächt die Polizei. Die Polizei geht schwe- ren Zeiten entgegen. Neben den massiven Belastungen durch Kürzungen beim Weihnachts- und Urlaubsgeld wirkt",NON_HATE
". . . . . . . . . . . . . . . . . . . . . . 7425 Roger Lenhart . . . . . . . . . . . . . . . . . . . . 7426 Vizepräsidentin Sarah Sorge . . . . . . . . . . . . 7426 55. Beschlussempfehlungen der Ausschüsse zu Petitio- nen – Drucks. 16/5739 – . . . . . . . . . . . . . . . . . 7426 Beschlussempfehlungen angenommen . . . . . . . 7426 Vizepräsidentin Sarah Sorge . . . . . . . . . . . . 7426 Hessischer Landtag · 16.Wahlperiode · 107. Sitzung · 12. Juli 2006 (Beginn: 9.02 Uhr) Präsident Norbert Kartmann: Meine sehr geehrten Damen und Herren, ich möchte die Sitzung eröffnen. Ich darf Sie sehr herzlich begrüßen und erkläre gleich etwas zu den äußeren Umständen, wenn alle sitzen und nicht mehr reden. – Danke schön. Ich stelle die Beschlussfähigkeit des Hauses fest.Die Tem- peraturen in diesem Hause werden sich im Laufe des Ta- ges bessern. (Gerhard Bökel (SPD): Noch besser!) Wir haben beschlossen, dass wir Ihnen Hoffnung machen. Diese Klimaanlage wird nachts abgeschaltet. Sie muss enteisen. Erst morgens wird sie wieder eingeschaltet und braucht eine Zeit lang, bis sie die Betriebstemperatur hat, um diesen Raum zu kühlen. (Unruhe) – Meine Damen und Herren, haben sich jetzt alle be- grüßt? – Ich stelle folgende Dinge fest,damit wir einen ge- meinsamen Einstieg haben. Erledigt sind die Punkte 1, 2, 3, 12 und 52. Wir tagen heute bis 18 Uhr bei einer Mit- tagspause von zwei Stunden. Wir beginnen mit Tagesordnungspunkt 48, dem Antrag der Abg. Frankenberger, Klemm, Pfaff, Riege, Schäfer- Gümbel, Tesch (SPD) und Fraktion betreffend neue Im- pulse für den Mittelstand. Dieser Antrag wird zusammen mit Tagesordnungspunkt 76 aufgerufen, dem Dringlichen Antrag der Fraktion der CDU betreffend Mittelstand stärken – Bürokratie abbauen, Drucks. 16/5809. Danach folgt Tagesordnungspunkt 44. Nach der Mittags- pause, zu Ihrer Information, beginnen wir mit den Tages- ordnungspunkten 47, 70 und 73. Unsere Fußballmannschaft",NON_HATE
"das Gesetz politisch hochgradig umstritten – aufgrund der Wechselwirkungen und der Frage, was damit politisch intendiert war. Das ist heute sicherlich nicht mehr der Fall. Deshalb bin ich zu- versichtlich, dass wir am Ende zu gemeinsamen Lösungen kommen. (Beifall bei der SPD) Vizepräsidentin Sarah Sorge: Vielen Dank, Herr Kollege Schäfer-Gümbel. – Als nächs- ter Redner hat Herr Kollege Bocklet für die Fraktion BÜNDNIS 90/DIE GRÜNEN das Wort. Marcus Bocklet (BÜNDNIS 90/DIE GRÜNEN): Frau Präsidentin, meine sehr verehrten Damen und Her- ren! Grundsätzlich ist aus unserer Sicht gegen die Zu- sammenfassung in das Landesaufnahmegesetz nichts ein- zuwenden.Das Landesaufnahmegesetz tritt im Dezember außer Kraft. Unklar ist und bleibt es unserer Meinung nach, wann und wie die Evaluation dieses Gesetzes er- folgte und welche Evaluationsergebnisse in die Neufas- sung eingeflossen sind. Wir sind nämlich der Meinung, dass jedes Gesetz auf seine Zielgenauigkeit, auf seine Wirksamkeit und auf den Zweck überprüft werden soll, bevor es ein neues Gesetz oder eine Verlängerung der Geltungsdauer des bisherigen Gesetzes gibt. Wir wissen nicht, in welcher Form das hier geschehen ist. Das wollen wir gerne in den Beratungen reflektieren und diskutieren. Wie Sie schon gesagt haben, werden in dem Gesetzent- wurf die Bestimmungen zweier Gesetze zusammenge- führt. Es ist fast eine 1 : 1-Übertragung aus zwei Gesetzen. Insofern hätte der Herr Staatssekretär Krämer gesagt: Es ist sozusagen nichts materiell Neues. – Was nicht geregelt wird, ist, dass Land und Kommunen eigentlich ein daten- verarbeitungsgestütztes Verfahren zur Feststellung der tatsächlichen Aufwendungen des Landes verabredet ha- ben. Es ist immer noch nicht ganz klar, in welchem Schacht dies noch steckt und wann dies ein Ende finden wird. Das interessiert uns sehr. (Ministerin Silke Lautenschläger: Das lässt sich ganz leicht aufklären!) – Frau Ministerin, dann bin ich sehr beruhigt. – Grund- sätzlich ist zu sagen, dass wir in dem bedeutenden Unter- ausschuss für Heimatvertriebene, Aussiedler, Flüchtlinge und Wiedergutmachung – meine Kolleginnen und Kolle- Hessischer Landtag · 16.Wahlperiode · 131. Sitzung · 3. Mai 2007 gen des Unterausschusses stehen auf der Treppe und ma- chen gerade ein Gruppenfoto; (Dr.Walter Lübcke (CDU): Na, na!) einer ist schon wieder da – einen Bericht abgeliefert",NON_HATE
"hier permanent darzustellen versuchen. (Beifall bei der CDU und der FDP – Zurufe der Abg. Petra Fuhrmann (SPD)) Herr Schäfer-Gümbel, ich habe gar kein Problem damit, dass man das eine oder andere bestimmt noch besser ma- chen kann. Aber wenn ich von Ihrer Seite höre, jetzt plap- pern Sie auch ungeprüft nach, was von VhU und anderen gesagt wird, von heute auf morgen – – (Zurufe von der SPD: Oh! – Gegenruf des Abg. Dr. Frank Blechschmidt (FDP): Er weiß, wovon er spricht!) – Ich finde es schön, dass Sie meinen Mut bewundern. Ich sage Ihnen auch, warum. (Zuruf der Abg. Petra Fuhrmann (SPD)) Die Leute, die, als wir Schülerberge hatten, nicht in der La- ge waren, zu helfen, und jetzt, wenn es Fachkräftemangel gibt, aber schreien, alle Übergangssysteme sollten abge- schafft werden – da muss man den Mut haben, ganz sach- lich mit denen zu diskutieren und festzustellen, dass wir dort, wo die Möglichkeiten sind, überall schauen müssen, wo wir junge Menschen direkt in eine berufliche Erstaus- bildung im dualen System bringen. (Dr. Thomas Spies (SPD): Und wie wollen Sie das tun?) Frau Fuhrmann, Sie wissen doch selbst – – (Zurufe von der CDU und der FDP sowie des Abg. Dr. Thomas Spies (SPD)) – Herr Spies, Lautstärke ersetzt keinen Sachverstand. (Beifall bei der CDU und der FDP – Zuruf des Abg. Dr. Thomas Spies (SPD) – Glockenzeichen des Prä- sidenten) Herr Spies, ich erkenne an, dass Sie in bestimmten Berei- chen bestimmt Sachverstand besitzen. Aber eines glauben Sie mir einmal: Wenn es ums Thema berufliche Bildung geht, da können Sie mir die Hand nicht reichen. (Beifall bei der CDU und der FDP – Zurufe des Abg. Dr. Thomas Spies (SPD)) Herr Kollege Spies, dort, wo wir diese Systeme minimie- ren können, dort, wo die schulische Arbeit im Übergangs- system eingegrenzt werden kann, werden wir es schleu- nigst mithilfe der Wirtschaft machen. Aber gehen Sie ein- mal in Regionen wie Nordhessen. (Zuruf des Abg. Günter Rudolph (SPD)) – Herr Rudolph, ich habe noch 30 Sekunden. Sie müssen mich noch 30 Sekunden ertragen. (Günter Rudolph (SPD): Das Leben ist hart,",NON_HATE
"und Erziehungsplans ist, dass alle, die sich um Kinder kümmern, sich gemeinsam Hessischer Landtag · 16.Wahlperiode · 72. Sitzung · 9. Juni 2005 auf den Weg machen sollen, den ihnen anvertrauten Kin- dern nicht nur Betreuung, nicht nur Kuschelecken, Selbst- verwirklichung und Spielen im Sozialverband anzubieten, sondern sie sollen bereits im Kleinstkindalter gezielt auf bestimmte Bildungsziele hinarbeiten. Schauen Sie sich einmal die Lehrpläne in den Schulen für Sozialpädagogik oder die Pläne in den Kindertagesstätten an.Wie war das bisher? Auch da muss man schlicht und er- greifend sagen, dass die Inhalte der Siebzigerjahre grüßen lassen. Da ging es um Friedenserziehung, um Umwelt, um Selbstverwirklichung. Wie spiele ich möglichst viel? Am besten überlasse ich die Kinder sich selber.– Von Bildung, von Erziehung, von Leisten und Lernen war damals über- haupt keine Rede. (Beifall bei der FDP und bei Abgeordneten der CDU) Ich kann mich noch sehr genau an die Diskussion von 1995 bis 1999 über die Kuschelecken in den Grundschulen erinnern.Da war es schon verpönt,wenn die Kinder einen Stempel bekommen haben, und das Gesicht war einmal ernst und einmal lachend,weil die Leistung des lachenden Gesichtes besser war. Da hat man schon in den Grund- schulen gesagt, man verwirrt die Kinder in dem Moment, in dem man ihnen Leistung abfordert und ihnen etwas beibringt. Das war in den Kindertagesstätten natürlich genauso, und deswegen ist es sehr gut, dass jetzt endlich in den Kinder- tagesstätten begonnen wird, die Kinder auf die Schule vorzubereiten und Bildungsgrundlagen zu legen. (Beifall bei der FDP) Die Forderung an die Kindertagesstätten, die Kinder auf die Schule vorzubereiten – ein zentraler Bestandteil die- ses Bildungs- und Erziehungsplans –,war früher schon ein Fremdwort. Das wäre ja outputorientiert gewesen. Die Kinder wären Produkte gewesen, die auf die nächste Sta- tion vorbereitet werden sollten. Darüber durfte man vor fünf, sechs oder sieben Jahren überhaupt noch nicht dis- kutieren. (Priska Hinz (BÜNDNIS 90/DIE GRÜNEN): Sie haben es wirklich nicht verstanden!) Diese politischen Vorgaben prägten damals und prägen auch heute die Ausbildung der Erzieherinnen. Ich hatte das Vergnügen, Herrn Haueisen bei einem Vortrag in Limburg zu hören.Er ist ein maßgeblicher Mitarbeiter bei diesem Bildungs- und",NON_HATE
