doc_id,keyword,adjective,lemma,context,context_sentiment,context_score,adj_lower
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0030,migranten,unkontrollierte,unkontrolliert,"Handeln. Jetzt wollen die Bürger Antworten  ehrliche Antworten. Nennen Sie uns z. B. endlich die wahren Kosten, die dem deutschen Steuerzahler durch die Migrationspolitik der Altparteien aufgebürdet werden; denn auch das gehört zu Ihrer Informationspflicht. (Beifall AfD) Es geht um die weitgehend unkontrollierte und fortwährende Einwanderung von Millionen von Migranten nach Deutschland (Michael Boddenberg (CDU): Das ist ja gar nicht wahr!) und damit in den deutschen Sozialstaat. (Beifall AfD) Der Freiburger Wirtschaftswissenschaftler Bernd Raffelhüschen bezifferte bereits Ende 2015 die langfristigen Zusatzkosten dafür auf rund 900 Milliarden . Das sind fast 1 Billion   rund ein Drittel der deutschen Wirtschaftsleistung.",negative,0.7607586979866028,unkontrollierte
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,migranten,ausreisepflichtigen,ausreisepflichtig,"Deutsche aufgegeben, Herr Ministerpräsident? (Beifall AfD  Lachen Janine Wissler (DIE LINKE)) Sie erwähnen eher am Rande das Strafrecht und die Abschiebungen. Ich verstehe, dass Sie dazu nicht ausführlicher berichten; denn im letzten Jahr haben Sie und Ihr Innenminister Beuth von derzeit rund 10.000 ausreisepflichtigen Ausländern in Hessen nur 1.754 Migranten abgeschoben. Sie wollen im Grunde genommen auch nicht mehr abschieben. Lieber erteilen Sie trotz Asylablehnung eine Duldung nach der anderen. (Beifall AfD) Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene Erweiterung des Kreises der sicheren Herkunftsstaaten mit Ihrem Koalitionspartner, den GRÜNEN, einigen können. Das bedeutet, dass Sie",negative,0.8674707412719727,ausreisepflichtigen
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0031,asylablehnung,ausreisepflichtigen,ausreisepflichtig,"am Rande das Strafrecht und die Abschiebungen. Ich verstehe, dass Sie dazu nicht ausführlicher berichten; denn im letzten Jahr haben Sie und Ihr Innenminister Beuth von derzeit rund 10.000 ausreisepflichtigen Ausländern in Hessen nur 1.754 Migranten abgeschoben. Sie wollen im Grunde genommen auch nicht mehr abschieben. Lieber erteilen Sie trotz Asylablehnung eine Duldung nach der anderen. (Beifall AfD) Sie geben zu, dass Sie sich nicht einmal auf eine bescheidene Erweiterung des Kreises der sicheren Herkunftsstaaten mit Ihrem Koalitionspartner, den GRÜNEN, einigen können. Das bedeutet, dass Sie im Bundesrat praktisch ein Veto gegen eine Ausweitung der sicheren Herkunftsstaaten einlegen und der Bevölkerung,",negative,0.9485198259353638,ausreisepflichtigen
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0051,asylsuchende,falsch,falsch,"Opposition in diesen Ländern in den Rücken. Gerade sind in Marokko vier Aktivisten zu 20 Jahren Haft verurteilt worden. Warum?  Weil sie gegen Arbeitslosigkeit, gegen schlechte Gesundheitsversorgung und Korruption protestiert haben. Nein, solche Länder werden nicht per Beschluss zu sicheren Ländern. Aber Sie schwächen die Opposition, und Sie setzen Asylsuchende einer Beweislastumkehr aus, die überhaupt nicht vertretbar ist. Deswegen: Bleiben Sie bei einem Nein zur Erweiterung der Liste der sicheren Herkunftsstaaten, weil dieses ganze Prinzip völlig falsch ist. (Beifall DIE LINKE) Herr Ministerpräsident, Sie haben davon gesprochen, dass die freiwilligen Ausreisen immer der Abschiebung vorzuziehen seien. Ich will an der",negative,0.9638354778289796,falsch
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0051,flüchtling,falsch,falsch,"Herkunftsstaaten, weil dieses ganze Prinzip völlig falsch ist. (Beifall DIE LINKE) Herr Ministerpräsident, Sie haben davon gesprochen, dass die freiwilligen Ausreisen immer der Abschiebung vorzuziehen seien. Ich will an der Stelle vielleicht einmal deutlich machen, wie freiwillig diese Ausreisen sind. Ein afghanischer Schüler, der vor zwei Jahren als unbegleiteter minderjähriger Flüchtling nach Deutschland kam, hat kurz nach seinem 18. Geburtstag ein Schreiben vom Regierungspräsidium Darmstadt bekommen mit dem Betreff: Ausreise aus der Bundesrepublik Deutschland. Darin heißt es: Das Bundesamt für Migration und Flüchtlinge hat Ihren Asylantrag abgelehnt. Ich gebe Ihnen hiermit Gelegenheit, sich wegen einer freiwilligen Ausreise mit mir in Verbindung",negative,0.9692575335502625,falsch
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0051,flüchtling,abgelehnt,abgelehnt,"Herkunftsstaaten, weil dieses ganze Prinzip völlig falsch ist. (Beifall DIE LINKE) Herr Ministerpräsident, Sie haben davon gesprochen, dass die freiwilligen Ausreisen immer der Abschiebung vorzuziehen seien. Ich will an der Stelle vielleicht einmal deutlich machen, wie freiwillig diese Ausreisen sind. Ein afghanischer Schüler, der vor zwei Jahren als unbegleiteter minderjähriger Flüchtling nach Deutschland kam, hat kurz nach seinem 18. Geburtstag ein Schreiben vom Regierungspräsidium Darmstadt bekommen mit dem Betreff: Ausreise aus der Bundesrepublik Deutschland. Darin heißt es: Das Bundesamt für Migration und Flüchtlinge hat Ihren Asylantrag abgelehnt. Ich gebe Ihnen hiermit Gelegenheit, sich wegen einer freiwilligen Ausreise mit mir in Verbindung",negative,0.9692575335502625,abgelehnt
047461152_20_2019-24_pdf_003_047461152_20_2019-24_pdf_003_0051,migration,abgelehnt,abgelehnt,"Stelle vielleicht einmal deutlich machen, wie freiwillig diese Ausreisen sind. Ein afghanischer Schüler, der vor zwei Jahren als unbegleiteter minderjähriger Flüchtling nach Deutschland kam, hat kurz nach seinem 18. Geburtstag ein Schreiben vom Regierungspräsidium Darmstadt bekommen mit dem Betreff: Ausreise aus der Bundesrepublik Deutschland. Darin heißt es: Das Bundesamt für Migration und Flüchtlinge hat Ihren Asylantrag abgelehnt. Ich gebe Ihnen hiermit Gelegenheit, sich wegen einer freiwilligen Ausreise mit mir in Verbindung zu setzen. Sollte bis zum 02.12.2018 keine Kontaktaufnahme erfolgen, gehe ich davon aus, dass an einer freiwilligen Ausreise kein Interesse besteht. Ich werde sodann ohne erneute Ankündigung die Abschiebung betreiben.",negative,0.8601654767990112,abgelehnt
047461152_20_2019-24_pdf_004_047461152_20_2019-24_pdf_004_0013,asylbewerbern,abgelehnten,abgelehnt,"Rückführungen aufgrund verkürzter Klage-und Ausreisefristen erleichtert. Meine Damen, meine Herren, jedem von uns müsste doch eines klar sein: Eine Rückführung kann nur dann greifen, wenn diese Staaten die Menschen auch zurücknehmen. (Beifall AfD) Die hohe Quote der Duldung von Migranten belegt anschaulich, wie ungelöst die Problematik der Rücknahme von abgelehnten Asylbewerbern ist. In Deutschland wird seitens der etablierten Parteien immer einzig von der Verantwortung der Deutschen gesprochen, nicht aber von der Verantwortung der Politiker vieler Länder, aus denen Menschen migrieren; und somit gibt es keinerlei Druck auf diese Länder, ihre eigene Politik zu verändern und für ihre Einwohner Perspektiven zu schaffen.",negative,0.9407944679260254,abgelehnten
047461152_20_2019-24_pdf_005_047461152_20_2019-24_pdf_005_0028,einwanderung,unkontrollierte,unkontrolliert,"was glänzt, wie die unerfreuliche Zunahme der Zahl gewalttätiger Angriffe auf Polizisten, Feuerwehrleute und Rettungskräfte, werden mit vollmundigen Ankündigungen und Floskeln wie Schaffung strengerer Gesetze, härtere Strafen, konsequentes Handeln und aufenthaltsbeendende Maßnahmen klein- und schöngeredet. Glaubhaft ist das natürlich nicht, wie die CDU seit Jahren bundesweit beweist. Offene Grenzen, unkontrollierte Einwanderung und so gut wie keine Abschiebungen von illegalen oder kriminellen Ausländern sind ein Beleg dafür. (Beifall AfD und Alexandra Walter (fraktionslos)) Machen wir uns nichts vor: Der grüne Regierungspartner der CDU wird es sicher verstehen, insbesondere die Aussagen bezüglich Abschiebungen von illegalen oder kriminellen Migranten zu relativieren. Dennoch: Innenminister Beuth",negative,0.8601800203323364,unkontrollierte
047461152_20_2019-24_pdf_005_047461152_20_2019-24_pdf_005_0028,einwanderung,illegalen,illegal,"was glänzt, wie die unerfreuliche Zunahme der Zahl gewalttätiger Angriffe auf Polizisten, Feuerwehrleute und Rettungskräfte, werden mit vollmundigen Ankündigungen und Floskeln wie Schaffung strengerer Gesetze, härtere Strafen, konsequentes Handeln und aufenthaltsbeendende Maßnahmen klein- und schöngeredet. Glaubhaft ist das natürlich nicht, wie die CDU seit Jahren bundesweit beweist. Offene Grenzen, unkontrollierte Einwanderung und so gut wie keine Abschiebungen von illegalen oder kriminellen Ausländern sind ein Beleg dafür. (Beifall AfD und Alexandra Walter (fraktionslos)) Machen wir uns nichts vor: Der grüne Regierungspartner der CDU wird es sicher verstehen, insbesondere die Aussagen bezüglich Abschiebungen von illegalen oder kriminellen Migranten zu relativieren. Dennoch: Innenminister Beuth",negative,0.8601800203323364,illegalen
