text,label,max_sent,p_hate
"Auch wenn es eine Frage der Haushaltspolitik ist, will ich 
es hier noch einmal erwähnen: Hessen müsste das Geld, 
das durch die Inflationseffekte kräftig in die öffentlichen 
Kassen sprudelt, seinen Bürgern eigentlich zurückgeben 
und dürfte es nicht für zusätzliche Migration verpulvern.",HATE,41,0.8787834048271179
"@Odenwaelderin Dass ist nicht freiwillig,sondern der Geldknappheit der Städte und Gemeinden geschuldet,die Gelder den Asylanten wie Puderzucker in den Hintern blasen.🌬",HATE,21,0.8781830072402954
"Nein, wir haben genug von dem Zeug gehört.  Aber das 
ist nichts Neues bei Ihnen: Wer von todbringender Messermigration, 
alimentierten Messermännern, Kopftuchmädchen 
und sonstigen Taugenichtsen spricht, Migranten 
als Parasiten und Gesindel bezeichnet, Türkei",HATE,26,0.8774130940437317
"setzen Sie sich an die Spitze einer Bewegung, gerade 
in diesen Zeiten, in denen die Bürger Hessens überlegen 
müssen, wie sie mit Inflation und Gasknappheit überleben 
können, in diesen Zeiten, in denen das Land erneut mit 
Migranten geflutet wird,",HATE,39,0.876979410648346
"@SteinbachErika Man sollte grundsätzlich nur Schweinefleisch an das Migrantenpack ausgeben. Sollten diese das zurückweisen, könnten sie ja in den zahlreichen Kanalisationen Ratten fangen und verzehren.",HATE,15,0.8761172294616699
"mit oder ohne Verfolgung. Sie wollen keine Abschiebung. 
Dann sagen Sie es doch ehrlich und führen nicht dieses 
Thema mit dem Erdbeben an.",HATE,15,0.8760092854499817
"Wozu muss ich eigentlich einen neuen Personalausweis beantragen, wenn ich auch als ""Flüchtling"" ohne Papiere hierzulande geduldet würde?",HATE,18,0.8739307522773743
"@MDR_SAN Da sollten auch Asylanten eingesetzt werden, die für nichts abkassieren und sich den Tag über langweilen.",HATE,17,0.8738095164299011
statt diesen kriminellen #Ausländer noch im Fernsehen zu zeigen sollte man ihn lieber rausschmeißen @aktuelleStunde #WDR,HATE,16,0.8718439936637878
in ihrem Heimatland scheißen sich die #Flüchtlinge in die Hose und hier in Deutschland lassen Sie die Sau raus @aktuelleStunde #WDR,HATE,21,0.871250331401825
Das Geseiere dieses Pfaffen Gauck widert jeden Aufrechten nur an!Warum beantragt dieses Objekt der Zersetzung nicht Asyl im gelobten Land?,HATE,20,0.8709943890571594
"@FrankFranz |LBR| Nur hier in D ist das nicht möglich, wegen Rot.-Grün die alles blockieren was gegen Asylwahnsinn geht.",HATE,19,0.870917558670044
"@GDhring @NiemaMovassat Im Gegensatz zu den Sozialschmarotzern, die hier her kommen, sind dort tatsächlich Flüchtlinge unterwegs.",HATE,16,0.8706546425819397
@FranzAndes45 Mal sehen...wenn ich jetzt schreiben würde mann soll Flüchtlinge würgen dann werde ich bestimmt gesperrt..?,HATE,16,0.8704571723937988
Was soll dass 220.000 Invasoren dürfen kommen + Familiennachzug u Hunderttausende die an der DE Grenze dass Wort Asyl stammeln können |LBR| AFD,HATE,23,0.8699676990509033
@krippmarie @jouwatch Facebook ist nur für Posten von Urlaubsbilder geeignet...und den Migranten-Dreck will man uns mit aller Gewalt schönreden..zum kotzen..!!,HATE,20,0.8689160943031311
@RNZonline Die Asylanten nehmen deutschen Familien günstige Wohnungen weg.zuerst Deutsche dann der Rest der Welt!!!!!!!,HATE,15,0.8687295317649841
"@heinrichwiechm1 Sarkasmus ist die manchmal letzte Möglichkeit, sich vor diesem ganzen Asyl - und Migranten-Wahnsinn zu schützen....",HATE,17,0.8687107563018799
@BlauekeP @poschuetzge @lawyerberlin @Die_Gruenen @fdp ....diese Asylrechte sind der eigentliche Verursacher unseres Desasters....allen Asyl-Kriminellen jegliche Rechte verwehren. |LBR| Problem gelöst!,HATE,17,0.8686735033988953
"Ich verstehe immer weniger, warum die Polen, Tschechen und Ungarn unsere vorbildliche Migrationspolitik nicht mitmachen wollen. |LBR| Ist es denen nicht langweilig mit Weihnachtsmärkten so ganz ohne Barrieren, Polizisten und Nagelbomben?",HATE,16,0.8677806258201599
@andrittis @haut_drauf Wenn die Vikinger so verblödet sind und alles für statt gegen Asylnten tun!,HATE,15,0.8676002025604248
"@wolflotter @fdp Ist doch alles Fäkal-egal, Hauptsache die Ungelernten wie C.R. oder K.G.E. oder der Migrationspatriot C.Özdedingens ziehen eine lange Fresse. Das die Ö.R.Medien plus die Lügenpresse so berichten wie sie es tun, war doch absehbar! Das schon seit Jahren !",HATE,15,0.8671008944511414
"Sippenhaftung für alle Ausländer.. Wer länger als 1 Jahr keine |LBR| Arbeit findet, muss dorthin zurück, wo er herkommt. Ohne jede |LBR| Ausnahme.",HATE,15,0.8670435547828674
"@Varg_I_Veum @DuHugonotte Wo sie recht haben ,haben sie recht.Der Schnitt ist Nano-Technologie.Ein wehleidiger Dorfbürgermeister der zudem noch Chef der Wasserwerke ist , die einem deutschen Bürger das Wasser abdreht,während die Asylanten keine Rechnung bezahlen !Ungerechtigkeit über alles!!!!!!!!!!!!!!!",HATE,37,0.8669496178627014
"Kirchhoff, ist Ihnen entgangen, dass 98 % der Migranten aus |LBR| Marokko nicht als Flüchtlinge anerkannt werden? Lassen Sie |LBR| Ihre blöden Ideen.",HATE,17,0.8668364882469177
