speaker,party,text,wahlperiode,sitzung,datum,source,label,score,p_hate
Dimitri Schulz,AfD,"Hier kommen die ganzen Fremdenfeinde und Ausländerfeinde 
aus ihren Löchern hervorgekrochen. 

(Lachen  Stephan Grüger (SPD): Das Präsidium zu 
beschimpfen!  Weitere Zurufe) 

Es ist nun mal so, dass im Schwabenland kein Hochdeutsch 
gesprochen werden kann. 

(Zurufe)",20.0,111.0,2022-07-14,047461152_20_2019-24_pdf_111,NON_HATE,0.9759,0.02410000000000001
Robert Lambrou,AfD,"Vielen Dank, Frau Präsidentin.  Herr Minister, im Zusammenhang 
mit der Frage hat Landrat Woide, CDU, aus Fulda, 
gestern im Kreistag gefordert, dass Bund und Land 
eine Begrenzung von Zuweisungen erwirken. Er hat auch 
ganz klargemacht, dass es hohen Regelungsbedarf gebe 
und dass es nicht nur um die Unterbringung gehe, sonderndass die Flüchtlinge auch Ärzte, Kindergärten und Schulen 
brauchten. Wie stehen Sie zu diesen Forderungen?",20.0,121.0,2022-12-06,047461152_20_2019-24_pdf_121,NON_HATE,0.979,0.02100000000000002
Volker Richter,AfD,"Ja, ich höre sofort auf.  Wenn Sie nicht bei den Fluchtursachen 
ansetzen und weiter Waffen aus Deutschland geliefert 
werden, dann wird es immer mehr Flüchtlinge geben. 
Das müssen wir verändern, und nichts anderes.  Danke. 

(Beifall AfD  Zuruf) 

 
11401",20.0,138.0,2023-06-29,047461152_20_2019-24_pdf_138,NON_HATE,0.9811,0.018900000000000028
Klaus Gagel,AfD,"Gut. 

(Zuruf: Das müsste man normalerweise rügen!) 

Sie zeigen letztlich, dass Sie an einem Symptom herum-
doktern und dies mit sozialistischer Mängelverwaltung irgendwie 
kurieren wollen. 

(Beifall AfD) 

Das müssten insbesondere Sie von der Linkspartei doch 
wissen. Das hat schon in der DDR nicht funktioniert. Es 
wird auch hier bei uns nicht funktionieren. Das große Problem, 
das wir auf dem Wohnungsmarkt haben, ist doch die 
seit 2015 mehr oder weniger unkontrolliert stattfindende 
Migration. 

(Beifall AfD  Hermann Schaus (DIE LINKE): Da 
haben wir es wieder, das Thema!  Zurufe) 

 Da lachen Sie. Ich erkläre es Ihnen jetzt einmal, damit 
Sie es einmal kapieren. 
(Unruhe  Glockenzeichen  Jan Schalauske (DIE 
LINKE): Die Menschen gegeneinander ausspielen!) 

Sie alle haben zwei Millionen Menschen ins Land gelassen. 

(Unruhe  Hermann Schaus (DIE LINKE): Sie haben 
keine Ahnung vom Thema!)",20.0,6.0,2019-02-27,047461152_20_2019-24_pdf_006,NON_HATE,0.9824,0.01759999999999995
Heiko Scholz,AfD,"Sehr geehrte Frau Präsidentin, verehrte Damen und Herren, 
sehr geehrter Herr Staatsminister Lorz! Die Genugtuung 
über den Haushaltsplan für die kommenden beiden Jahre 
steht Ihnen, Herr Kultusminister, förmlich ins Gesicht 
geschrieben. Ja, in vertrauter Manier werden Sie sich natürlich 
später noch in Selbstlob baden. Herr May tat das 
bereits ausführlich. Ja, es ist durchaus bemerkenswert, dass 
der Bildungsetat 2024 erstmals die Marke von 5 Milliarden 
 überschreiten wird. Es stellt sich jedoch die Frage, 
ob Sie auch das erforderliche Instrumentarium besitzen, 
um die 4.000 neu zu schaffenden Stellen mit sowohl fachwissenschaftlich 
als auch pädagogisch qualifizierten Lehrkräften 
besetzen zu können und zugleich alle hessischen 
Schulen in einen lehr- und lernfördernden Zustand zu verwandeln. 
Beachtenswert ist dabei, dass die Hälfte dieser 
Stellen allein zur Beschulung von Flüchtlingskindern aus 
der Ukraine vorgesehen ist. Wir freuen uns jedoch, dass 
Sie unsere eigenen Schüler darüber nicht ganz vergessen 
haben. 

(Beifall AfD) 

Diese leiden bekanntlich seit Jahren unter dem von Ihnen 
nur verwalteten eklatanten Lehrermangel und einem aus 
ideologischen und machtpolitischen Motiven verunstalteten",20.0,122.0,2022-12-07,047461152_20_2019-24_pdf_122,NON_HATE,0.9858,0.01419999999999999
Dimitri Schulz,AfD,"Ich werde weiterhin Klartext reden.  Beenden Sie das antiisraelische 
Abstimmungsverhalten der Deutschen in der 
Europäischen Union und die Finanzierung linksradikaler 
NGOs durch Ihre parteinahen Stiftungen, bevor Sie die Delegationsreisen 
organisieren lassen. Hören Sie mit der Millionen-
Euro-schweren Unterstützung des UNRWA auf. 
Das ist ein exklusiv für Palästinenser reserviertes Flüchtlingshilfswerk. 
Es befindet sich fest in den Händen der Hamas. 

(Beifall AfD) 

Erkennen Sie Israel vollumfänglich als souveränen Staat 
an, der sich seine eigene Hauptstadt wie jeder andere Staat 
dieser Welt frei wählen kann. 

(Beifall AfD) 

Verlegen Sie Deutsche Botschaft endlich nach Jerusalem.  
Ich danke Ihnen. 

(Anhaltender Beifall AfD)",20.0,75.0,2021-05-20,047461152_20_2019-24_pdf_075,NON_HATE,0.9861,0.013900000000000023
Dimitri Schulz,AfD,"Ich weise in aller Deutlichkeit den Vorwurf des Rassismus 
zurück. 

(Beifall AfD  Jan Schalauske (DIE LINKE): Jetzt 
macht er weiter!) 

Immer, wenn die sogenannten demokratischen Parteien   

(Martina Feldmayer (BÜNDNIS 90/DIE GRÜNEN): 
Moment mal!  Weitere Zurufe  Gegenruf 
Robert Lambrou (AfD): Sie bezeichnen uns ständig 
als Nichtdemokraten!  Holger Bellino (CDU): Sie 
werden doch vom Verfassungsschutz beobachtet!  
Unruhe  Glockenzeichen) 

Wenn den sogenannten demokratischen Fraktionen die Argumente 
ausgehen, kommt immer ein Rassismus-oder 
Nazivorwurf. Wir als demokratiefördernde Fraktion bieten 
Lösungen zu allen Themen, 

(Beifall AfD  Holger Bellino (CDU): Hören Sie 
auf!  Jan Schalauske (DIE LINKE): Reden Sie jetzt 
zum Thema!) 

unter anderem auch dazu, was die Migration, die illegale 
Migration angeht. Und wenn wir die Wahrheit ansprechen, 

(René Rock (Freie Demokraten): Die Wahrheit?) 

reagiert ihr auf die Wahrheit allergisch  und nicht wir. 

(Beifall AfD) 

Das Problem liegt nicht bei uns, sondern bei euch. 

(Wortmeldung Martina Feldmayer (BÜNDNIS 90/ 
DIE GRÜNEN))",20.0,111.0,2022-07-14,047461152_20_2019-24_pdf_111,NON_HATE,0.9865,0.013499999999999956
Volker Richter,AfD,"Da hat der Herr Scholz dieses Mal Glück gehabt.  Sehr 
verehrter Herr Präsident, meine sehr verehrten Damen und 
Herren! Angesichts der Situation, in der wir uns in Hessen 
befinden, möchte ich mich bei der zweiten Lesung dieses 
Gesetzentwurfs von CDU und BÜNDNIS 90/DIE GRÜNEN 
sehr kurz halten. 

(Tobias Eckert: Das ist ja mal etwas Positives!) 

Das Gesetz zur Verbesserung der politischen Teilhabe von 
ausländischen Einwohnerinnen und Einwohnern an der 
Kommunalpolitik sowie zur Änderung kommunal-und 
wahlrechtlicher Vorschriften geht auch in der zweiten Lesung 
völlig an den Bedürfnissen der Ausländer in unserer 
Gesellschaft vorbei. Anstatt dies schlicht zu beenden und 
den Ansatz zur Integrationskommission aufzugeben, bleiben 
Sie exakt der Vorlage treu, die bereits früh vom Vorsitzenden 
der Ausländerbeiräte als Abschaffung der Ausländerbeiräte, 
brutaler Abbau demokratisch verbriefter 
Rechte, Wortbruch und Herabsetzung in Hessen lebender 
Ausländer beschrieben wurde. 

Meine Damen und Herren, einen Gesetzentwurf, der für 
Ausländer ausgelegt sein soll, gegen die Ausländer hervor

zubringen und durchzusetzen, halten wir für völligen Unsinn. 
 Vielen Dank. 

(Beifall AfD)",20.0,36.0,2020-03-24,047461152_20_2019-24_pdf_036,NON_HATE,0.9866,0.013399999999999967
Dimitri Schulz,AfD,"Verehrtes Präsidium, verehrte Frau Ziegler-Raschdorf, verehrte 
Frau Nazarenus-Vetter, verehrter Herr Ortmann, verehrter 
Herr Thießen, verehrte Damen und Herren, liebe 
Kollegen von der Union! Meine Verwandten väterlicherseits 
lebten mehr als ein Jahrhundert lang in der heutigen 
Ukraine, ein Leben als wohlhabende Bauern und Handwerker. 
Die Oktoberrevolution war zwar ein schwerer Schlag; 
denn sie schürte den roten Hass gegen alles, was wohlhabend 
und erfolgreich war. 

10010 
 

(Beifall AfD) 

Aber sie konnte den Russlanddeutschen die Existenzgrundlage 
nicht vollständig entziehen. Erst nach 20 Jahren Ausbeutung 
durch den Kommunismus wurden sie im Sommer 
1941 dazu gezwungen, all ihr Hab und Gut stehen und 
liegen zu lassen. Sie wurden der Zusammenarbeit mit den 
Nazis verdächtigt und deportiert, zu großen Teilen wie 
Vieh in Güterwaggons gesperrt. In Sibirien und Mittelasien, 
wohin man sie brachte, mussten sie während des Krieges 
Zwangsarbeit leisten. 

Warum? Das ist eine sehr wichtige Frage. Die Antwort 
darauf ist ganz einfach: weil sie Deutsche waren. 

(Beifall AfD) 

Deswegen war es so wichtig, dass die Bundesrepublik 
Deutschland ihre verlorenen Söhne heimholte. 

(Zurufe SPD: Oh!) 

Die Russlanddeutschen folgten diesem Ruf fast ausnahmslos 
und fast umgehend. 

(Beifall AfD) 

Es gibt zwar immer noch wenige Tausend Russlanddeutsche, 
die jedes Jahr nach Deutschland einwandern. Aber 
das sind nur noch verschwindend geringe Zahlen im Vergleich 
zum Beginn der Neunzigerjahre. Die ganz überwiegende 
Mehrheit der Russlanddeutschen hat nicht gezaudert. 
Sie ist direkt nach dem Zusammenbruch des Kommunismus 
hergekommen. 

Wir leben heute aber in Zeiten, wo jegliche Migration in 
einen Topf geworfen wird, 

(Beifall AfD) 

und zwar von einer Regierungspartei, die diesen Antraghier mitgezeichnet hat: den GRÜNEN. 

(Beifall AfD) 

Wie oft haben Sie die Masseneinwanderung der letzten 
Jahre mit der Rückkehr der Heimatvertriebenen und Spätaussiedler 
verglichen? 

(Robert Lambrou (AfD): So ist es!) 

Sie haben sie nicht nur verglichen, sondern gleichgesetzt. 
Wir als AfD finden, das ist nicht nur völlig ahistorisch und 
geschmacklos, das ist auch eine Verhöhnung der russlanddeutschen 
Opfer des Stalinismus. 

(Beifall AfD) 

Denn diese in Viehwaggons deportierten Menschen wurden 
diskriminiert, weil sie Deutsche waren  aus keinem 
anderen Grund. 

(Beifall AfD) 

Als sie nach Deutschland einwanderten, nach langen Jahrzehnten 
der Erniedrigung, war es für sie eine Rückkehr 
in die historische Heimat.  Die illegale Masseneinwanderung 
aus dem Nahen Osten und Afrika hat hingegen rein 
wirtschaftliche Gründe. 

(Beifall AfD) 

Kein Einziger der Millionen Araber, Afghanen und Afrikaner, 
die 2015 nach Deutschland kamen, hatte deutsche 
Vorfahren. Kein Einziger hatte einen familiären Bezug zu 
Deutschland. 

(Beifall AfD) 

Deutschland war nicht aus historischen Gründen das erklärte 
Ziel dieser Migranten. Vielmehr war es das, weil 
hier die Sozialleistungen so hoch sind. Sehen Sie das endlich 
ein. 

(Beifall AfD) 

Ich komme nun auf Ihren Entschließungsantrag zu sprechen. 
Er stammt eindeutig nicht aus der Feder der GRÜNEN, 
denen nicht deutsche Migranten lieber sind als deutsche. 
Dafür ist er gegenüber den Heimatvertriebenen und 
Spätaussiedlern zu einfühlsam. Es fehlt da zwar einiges, 
was wir uns wünschen würden. Warum sollen z. B. keine 
Bemühungen unternommen werden, Städtepartnerschaften 
zwischen den hessischen Kommunen und den ehemals 
von Deutschen besiedelten und geprägten Kommunen in 
den Grenzgebieten Polens, in Tschechien, Kasachstan und 
Russland ins Leben zu rufen? 

(Beifall AfD) 

Ein Schüleraustausch wäre wirklich ein Mittel, das Bewusstsein 
um die an den Russlanddeutschen begangenen 
Verbrechen gerade bei der jungen Generation wachzuhalten. 

(Beifall AfD) 

Dennoch werden wir, die Mitglieder der AfD-Fraktion, 
diesen Entschließungsantrag unterstützen. Denn wir können 
jedes einzelne Wort unterschreiben. Wir wollen die 
Verdienste der Landesbeauftragten für Heimatvertriebene 
und Spätaussiedler, Frau Ziegler-Raschdorf, auch nicht 
kleinreden. Für uns, die Mitglieder der AfD-Fraktion, war 
zwar der Grund für die plötzliche Umwandlung ihres Amtes 
in eine B-2-Stelle nicht ganz ersichtlich. Aber sie leistet 
jedenfalls seit mehr als einem Jahrzehnt wichtige Arbeit. 

(Beifall AfD) 

Das heißt jedoch nicht, dass wir der CDU nicht auf die 
Finger schauen werden. Der Vorgänger des Ministerpräsidenten 
Rhein ist gerne auf Veranstaltungen, Empfänge 
und Feste der Vertriebenenverbände gegangen. Er hat dort 
mehrfach versprochen, mit dem Bund der Vertriebenen 
Tschechien zu bereisen. Meines Wissens wurde daraus 
aber nie etwas. Volker Bouffier ist nicht mehr im Amt. 
Das waren leere Versprechungen. 

Auch der viel gepriesene Lehrstuhl für die Geschichte 
der Heimatvertriebenen und Spätaussiedler existiert immer 
noch nicht. Die CDU hat ihn als ein kleines Häppchen für 
die Wähler in den Koalitionsvertrag hineingeschmuggelt. 

(Beifall AfD) 

Er ist sogar im Haushaltsplan für dieses Jahr enthalten. 
Der wurde aber schon vor zehn Monaten beschlossen. Geschehen 
ist seither nichts außer einer Pressemitteilung der 
Universität in Gießen. 

Ich will mich bei diesem Thema nicht um des Beklagens 
willen beklagen. Dieses Thema betrifft mich auch persönlich. 
Wenn die CDU ihre Versprechen eingehalten hätte, 
dann würde ich sie hier auch ehrlich loben. 

(Beifall AfD) 

Ich würde sie sogar loben wollen. Denn ich wünsche 
mir, dass die Landesregierung es mit diesem Thema ernst 
meint. Aber wir bekommen leider zunehmend den Ein

 
10011 

druck, dass es die CDU mit den Heimatvertriebenen und 
Spätaussiedlern nicht ernst meint. 

(Beifall AfD) 

Das ist bei einem so wichtigen Thema eine Schande. Ihr 
Entschließungsantrag enthält wieder einmal nur Worte. Es 
sind schöne Worte. Das geben wir, die Mitglieder der AfD, 
gerne zu. Es sind aber eben nur Worte. Liebe Kollegen der 
CDU, wenn Sie wirklich etwas für die Heimatvertriebenen 
und Spätaussiedler machen wollen, dann springen Sie endlich 
über Ihren eigenen Schatten. 

(Beifall AfD) 

Nehmen Sie auf Ihren antideutschen Koalitionspartner keine 
Rücksicht mehr. Beenden Sie die zunehmende Vergrünung 
der ehemals konservativen Union.  Vielen Dank. 

(Anhaltender Beifall AfD)",20.0,123.0,2022-12-08,047461152_20_2019-24_pdf_123,NON_HATE,0.9866,0.013399999999999967
Klaus Gagel,AfD,"Ich habe noch eine Minute und zwei Sekunden Redezeit.  
Da kommt das Amt und fragt bei privaten Wohnungsvermietern 
an: Habt ihr eine Vierzimmerwohnung? Wir haben 
eine sechsköpfige Familie von irgendwoher. Wir zahlen 
alles. Und da ist eine Familie, die finanziert sich aus 
versteuertem Einkommen, fragt beim Vermieter an und 
sagt: Eigentlich haben wir nicht genug Geld. Wer steht in 
Konkurrenz zu wem?  Das Amt, das die Migranten im 
Rücken haben, und die Familie, die ihre Miete aus zu versteuerndem 
Einkommen finanzieren muss. 

(Zurufe BÜNDNIS 90/DIE GRÜNEN, SPD und 
DIE LINKE) 

Das ist der Mechanismus, der die Preise in den Großstädten 
treibt. Das ist das, was Sie nicht kapieren. Aber ich 
hoffe, die Wähler werden es Ihnen beim nächsten Mal zeigen. 

(Beifall AfD)",20.0,6.0,2019-02-27,047461152_20_2019-24_pdf_006,NON_HATE,0.9867,0.013299999999999979
