stratum,speaker,party,datum,ft_score,base_label,text,human_label,notes
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-11-16,0.8884,NON_HATE,"Vielen Dank, Frau Präsidentin.  Der Kollege Markus Hofmann 
ist noch krank.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-03-29,0.8848,NON_HATE,"Es wird langsam zum Lazarett hier.  Herr Präsident, wir 
haben bei uns den Kollegen Hans-Jürgen Müller, die Kollegin 
Kaja Kinkel und den Kollegen Marcus Bocklet zu 
entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2019-09-03,0.8847,NON_HATE,"Ich darf mitteilen, dass auch die Kollegin Wallmann aus 
bekannten Gründen entschuldigt ist.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-02-23,0.8845,NON_HATE,"Herr Präsident, ich hatte es schon gestern gesagt: Der Kollege 
Müller hatte einen Unfall, er ist die ganze Woche erkrankt. 
Ich möchte außerdem den Kollegen Burcu entschuldigen.",,
abgeordnete,Hermann Schaus,DIE LINKE,2022-03-29,0.8835,NON_HATE,"Herr Präsident, wir bitten, Punkt 2 des Antrags getrennt 
abzustimmen.",,
abgeordnete,Astrid Wallmann,CDU,2021-09-28,0.8829,NON_HATE,"Sehr geehrter Herr Minister, können Sie bitte ausführen, 
welche Position die Landeshauptstadt Wiesbaden bezüglich 
der Zusammenarbeit der Dr. Horst Schmidt Kliniken 
mit der Universitätsklinik Frankfurt einnimmt?",,
abgeordnete,Dr. Daniela Sommer,SPD,2023-02-14,0.8824,NON_HATE,"Vielen Dank, Frau Präsidentin.  Auch wir müssen zwei 
Kollegen entschuldigen, zum einen Lisa Gnadl und zum 
anderen Marius Weiß.",,
abgeordnete,Volker Bouffier,CDU,2019-01-18,0.8821,NON_HATE,"Herr Präsident, ich nehme die Wahl an und bedanke mich 
für das Vertrauen.",,
abgeordnete,"Michael Boddenberg, Minister der Finanzen",,2023-02-14,0.8817,NON_HATE,"Bei dieser uneinbringlichen Forderung handelt es sich um 
eine gegen einen insolventen Kunden. Den Namen des 
Kunden dürfen wir aus Datenschutzgründen nicht nennen.",,
abgeordnete,Dirk Bamberger,CDU,2022-02-01,0.8807,NON_HATE,Ich habe ein lautes Organ. Ich könnte auch so herunterrufen.,,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2023-12-12,0.8803,NON_HATE,"Frau Präsidentin! Ich möchte die Kollegin Eva Goldbach 
und den Kollegen Frank Diefenbach entschuldigen  und 
Katy Walther Corona-bedingt.",,
abgeordnete,Jan Schalauske,DIE LINKE,2022-11-17,0.8798,NON_HATE,"Ich möchte den Abg. Torsten Felstehausen bis 12:30 Uhr 
entschuldigen.",,
abgeordnete,Hermann Schaus,DIE LINKE,2020-09-02,0.8796,NON_HATE,"Frau Wissler, unsere Fraktionsvorsitzende, hat mich kurzfristig 
gebeten, sie zumindest für heute Vormittag  möglicherweise 
auch für den ganzen Tag  wegen eines familiären 
Notfalls zu entschuldigen.",,
abgeordnete,Nancy Faeser,SPD,2020-05-27,0.8792,NON_HATE,"Herr Präsident, meine Damen und Herren! Herr Kollege 
Wagner, ich will Ihnen einmal etwas vorlesen. In der gestrigen",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2020-09-01,0.8789,NON_HATE,"Herr Staatsminister, halten Sie die jetzt drohenden Streckensperrungen 
für ein verhältnismäßiges Mittel?",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2020-11-12,0.8789,NON_HATE,"Ich möchte für den Ältestenrat geklärt haben, in welchem 
Teil der Geschäftsordnung es zu finden ist, dass Minister 
nicht nicken dürfen.",,
abgeordnete,Armin Schwarz,CDU,2019-09-05,0.8789,NON_HATE,"Frau Kollegin Wissler, können Sie bitte zwei oder drei Beispiele 
für verrottete Schulen in Hessen nennen?",,
abgeordnete,Holger Bellino,CDU,2022-10-11,0.8789,NON_HATE,"Frau Präsidentin, ich muss krankheitsbedingt Frau Müller-
Klepper und Lena Arnoldt entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2019-05-21,0.8788,NON_HATE,"Herr Präsident, meine sehr geehrten Damen und Herren! 
Der guten Ordnung halber möchte ich noch darauf hinweisen, 
dass Frau Wallmann ebenfalls entschuldigt fehlt.",,
abgeordnete,Torsten Felstehausen,DIE LINKE,2022-02-23,0.8786,NON_HATE,"Herr Präsident, ich möchte Herrn Jan Schalauske bis zur 
Mittagspause und Frau Sönmez ganztägig heute entschuldigen.",,
abgeordnete,Marcus Bocklet,BÜNDNIS 90/DIE GRÜNEN,2019-09-03,0.8783,NON_HATE,"Herr Minister, das ist ein bemerkenswerter Vorgang. Haben 
Sie den Eindruck, dass die Stadt Frankfurt Beratungsbedarf 
hat, um diese Mittel abzurufen?",,
abgeordnete,Torsten Felstehausen,DIE LINKE,,0.8778,NON_HATE,"Herr Präsident, ich wollte Sie nicht hetzen, aber den Kolle-
gen Gerntke ganztägig für heute entschuldigen.",,
abgeordnete,Günter Rudolph,SPD,2020-10-01,0.8777,NON_HATE,"Herr Präsident, den Kollegen Gerald Kummer müssen wir 
auch noch entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2020-11-10,0.8776,NON_HATE,"Ich darf den Kollegen Honka entschuldigen, der sich in 
Quarantäne befindet.",,
abgeordnete,Torsten Warnecke,SPD,2019-10-29,0.8775,NON_HATE,"Sehr geehrter Herr Staatsminister Klose, beabsichtigen Sie, 
die Stelle auszuschreiben?",,
abgeordnete,Torsten Felstehausen,DIE LINKE,2022-10-11,0.8774,NON_HATE,"Frau Präsidentin, ich möchte die Kollegin Scheuch-Paschkewitz 
für heute und die nächsten beiden Plenartage entschuldigen.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2021-12-08,0.8774,NON_HATE,"Herr Präsident, ich würde für heute Morgen die Kollegin 
Goldbach und die Kollegin Katy Walther entschuldigen, 
die ein bisschen mit der gestrigen Impfung zu kämpfen haben.",,
abgeordnete,Holger Bellino,CDU,2021-09-30,0.8773,NON_HATE,"Herr Kollege Präsident! 

(Vereinzelte Heiterkeit) 

Ich darf Herrn Tipi krankheitsbedingt entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2022-07-12,0.8773,NON_HATE,"Frau Präsidentin, ich muss Norbert Kartmann entschuldigen. 
Er ist erkrankt.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-07-12,0.8771,NON_HATE,"Vielen Dank, Frau Präsidentin. Nein, ich war ein bisschen 
spät.  Ich möchte den Kollegen Felix Martin entschuldigen, 
der an Corona erkrankt ist. Ich möchte den Kollegen 
Lukas Schauder und den Kollegen Taylan Burcu entschuldigen.",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2022-02-22,0.8771,NON_HATE,"Vielen Dank, Herr Minister.  Wie viel Geld ist denn im 
Rahmen der Fashion Week bisher zulasten des Landeshaushaltes 
verausgabt worden?",,
abgeordnete,Kaya Kinkel,BÜNDNIS 90/DIE GRÜNEN,2021-12-09,0.8771,HATE,"Herr Präsident, sehr geehrte Damen und Herren! Erst einmal 
tief durchatmen nach dieser Rede.  Ich möchte dieser",,
abgeordnete,Dr. Matthias Büger,Freie Demokraten,2022-09-20,0.8768,NON_HATE,"Frau Präsidentin, meine Damen und Herren! Ich möchte 
den Kollegen Stefan Müller entschuldigen.",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2020-09-29,0.8766,NON_HATE,"Vielen Dank, Herr Präsident.  Herr Staatsminister, wurden 
denn die Mittel für dieses Jahr schon zur Auszahlung gebracht?",,
abgeordnete,Dr. Horst Falk,CDU,2023-03-21,0.8766,NON_HATE,"Vielen Dank. Dann war ich wohl der Erste.  Ich habe eine 
Nachfrage: Vor welchem Hintergrund wurden die Expertinnen 
und Experten, die die Qualitätsoffensive begleiten, 
ausgewählt?",,
abgeordnete,Dr. Stefan Naas,Freie Demokraten,2021-06-17,0.8765,NON_HATE,"Vielen Dank, Herr Minister.  Können Sie uns sagen, was 
diese Anleihe an Zinsverbilligung oder Zinsvergünstigung 
gegenüber üblichen Anleihen des Landes Hessen gebracht 
hat?",,
abgeordnete,Dr. Matthias Büger,Freie Demokraten,2021-12-08,0.8764,NON_HATE,"Herr Präsident, meine Damen und Herren, schönen guten 
Morgen! Ich möchte die Kollegin Knell und den Kollegen 
Dr. Hahn als entschuldigt melden.",,
abgeordnete,Dr. Matthias Büger,Freie Demokraten,2022-09-22,0.8763,NON_HATE,"Einen schönen guten Morgen, Herr Präsident, meine Damen 
und Herren! Den Kollegen Stefan Müller möchte ich 
noch entschuldigen.",,
abgeordnete,Torsten Felstehausen,DIE LINKE,2022-11-15,0.8757,NON_HATE,"Ich möchte für die heutige Sitzung Abg. Heidemarie 
Scheuch-Paschkewitz entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2022-12-07,0.8757,NON_HATE,"Frau Präsidentin, ich muss unseren Vizepräsidenten Kollegen 
Lortz krankheitsbedingt entschuldigen.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-02-22,0.8756,NON_HATE,"Herr Präsident, ich möchte den Kollegen Hans-Jürgen 
Müller entschuldigen und den Kollegen Lukas Schauder, 
der sich in Selbstquarantäne befindet.",,
abgeordnete,Holger Bellino,CDU,2019-06-17,0.8756,NON_HATE,"Herr Präsident, ich darf Frau Abg. Wallmann aus den bekannten 
Gründen entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2020-12-08,0.8752,NON_HATE,"Herr Präsident, meine sehr geehrten Damen und Herren! 
Ich darf Lena Arnoldt aus familiären Gründen entschuldigen.",,
abgeordnete,Holger Bellino,CDU,2023-07-18,0.8752,NON_HATE,"Frau Präsidentin, vielen Dank.  Ich muss, krankheitsbedingt, 
noch Frau Kühne-Hörmann entschuldigen.",,
abgeordnete,Karl Hermann Bolldorf,AfD,2021-07-08,0.8751,NON_HATE,"Frau Präsidentin, Frau Staatssekretärin, meine sehr geehrten 
Damen und Herren! Die Gründung der Europäischen",,
abgeordnete,Hildegard Förster-Heldmann,BÜNDNIS 90/DIE GRÜNEN,2023-02-16,0.8749,NON_HATE,"Das ist bei mir sicher nicht notwendig.  Sehr geehrter 
Herr Präsident, verehrte Kolleginnen und Kollegen! Ich 
fange einmal mit Matthias Beltz an, dem Kabarettisten, der",,
abgeordnete,Robert Lambrou,AfD,2019-09-24,0.8748,NON_HATE,"Sehr geehrter Herr Minister, können Sie unabhängig davon, 
wer die Kosten letztendlich übernimmt, bereits einen 
ungefähren Kostenrahmen nennen?",,
abgeordnete,Landwirtschaft und Verbraucherschutz,,2021-05-18,0.8747,NON_HATE,"Grünes Glück vor der Tür hört sich super an. Ich werde 
mit meinem Kollegen darüber reden.",,
abgeordnete,Holger Bellino,CDU,2023-12-12,0.8743,NON_HATE,"Frau Präsidentin, meine sehr geehrten Damen und Herren! 
Ich muss den Kollegen Honka Corona-bedingt entschuldigen.",,
abgeordnete,Dr. Frank Grobe,AfD,2022-11-15,0.8742,HATE,"Ich möchte noch Klaus Herrmann für dieses gesamte Plenum 
entschuldigen.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2023-09-20,0.8741,NON_HATE,"Vielen Dank, Frau Präsidentin.  Ich möchte die Kollegin 
Staatsministerin Priska Hinz entschuldigen, die erkrankt 
ist.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2019-12-12,0.874,NON_HATE,"Herr Präsident! Ich möchte den Kollegen Burcu und die 
Kollegin Goldbach entschuldigen, die erkrankt sind.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2019-02-28,0.8739,HATE,"Herr Präsident, vielen Dank.  Ich möchte Frau Kollegin 
Katrin Schleenbecker entschuldigen.",,
abgeordnete,Karl Hermann Bolldorf,AfD,2019-09-03,0.8738,NON_HATE,"Ich hätte normalerweise noch eine Zusatzfrage, aber sie 
könnte etwas provokant sein. Ich stelle sie nicht. Ich bedanke 
mich für die Auskunft.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-07-14,0.8738,HATE,"Vielen Dank, Herr Präsident.  Ich möchte den Kollegen 
Taylan Burcu entschuldigen.",,
abgeordnete,Frank-Peter Kaufmann,BÜNDNIS 90/DIE GRÜNEN,2021-05-20,0.8736,NON_HATE,"Wie lange willst Du unsere Geduld noch missbrauchen? 
Bis zu welchem Tag wird dieser Wahnsinn uns noch verhöhnen? 
Wo wird diese zügellose Frechheit ihr Ende finden?",,
abgeordnete,Stefan Müller (Heidenrod),Freie Demokraten,2019-12-11,0.8734,NON_HATE,"Sehr geehrter Herr Präsident, meine sehr geehrten Damen 
und Herren! Auch ich danke zunächst für die Worterteilung, 
wenn das so üblich wird.",,
abgeordnete,Torsten Warnecke,SPD,2020-06-23,0.8731,NON_HATE,"Sehr geehrter Herr Finanzminister Boddenberg, wären Sie 
in der Lage, dem zuständigen Haushaltsausschuss respektive 
dem Landtag diese Daten zukommen zu lassen?",,
abgeordnete,Simon Schmitz,,2023-05-23,0.873,NON_HATE,"Sehr geehrte Frau Landtagspräsidentin, sehr geehrter Herr 
Ministerpräsident, sehr geehrte Damen und Herren Abgeordnete 
des Hessischen Landtags! Vielen Dank für die Einladung. 
Wir freuen uns, dass wir heute bei Ihnen zu Gast 
sein dürfen.",,
abgeordnete,Christoph Degen,SPD,2022-06-02,0.8716,NON_HATE,"Ganz herzlichen Dank.  Herr Dr. Falk, ich habe eine Frage: 
Wurde bei diesen weiteren Sprachen auch vorher ein 
Modellversuch durchgeführt?",,
abgeordnete,Christoph Degen,SPD,2021-07-06,0.8713,NON_HATE,"Besten Dank, Herr Präsident.  Ich freue mich, die allseits",,
abgeordnete,"Kai Klose, Minister für Soziales und Integration",,2019-02-26,0.8709,NON_HATE,"Frau Abg. Dr. Sommer, ich bitte Sie um Verständnis, dass 
ich der Bewertung des Kabinetts insgesamt jetzt nicht 
durch eine Individualbewertung vorgreifen möchte.",,
abgeordnete,Jürgen Frömmrich,BÜNDNIS 90/DIE GRÜNEN,2022-09-21,0.8707,NON_HATE,"Herr Präsident, ich glaube, wir hatten uns darauf verständigt, 
alle Anträge an die Ausschüsse zu überweisen  unseren 
Antrag bitte an den Europaausschuss.",,
abgeordnete,Dr. Matthias Büger,Freie Demokraten,2023-07-20,0.8702,NON_HATE,"Herr Präsident, wir hatten den Antrag meiner Fraktion mit 
aufgerufen. Wir würden bitten, den an den Sozial-und 
Integrationspolitischen Ausschuss zu überweisen.",,
abgeordnete,Jürgen Lenders,Freie Demokraten,2019-02-28,0.8701,NON_HATE,"Ich habe noch nichts. Aber das kann sich noch ändern. 

(Vereinzelte Heiterkeit) 

Herr Präsident, vereinbarungsgemäß werden wir als FDP-
Fraktion den entschuldigten Herrn Dr. Schäfer mit Herrn 
Dr. Hahn pairen und den entschuldigten Ministerpräsidenten 
mit Herrn Rock.",,
